epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,649.7,0.50342,0.31614,0.88216,0.98727,0.98989,0.99246,0.88962,0.48842,0.23647,0.87057,0.00398605,0.00132868,0.00398605,0.00132868,0.00398605,0.00132868,0.00398605,0.00132868
43,664.954,0.49494,0.30695,0.88002,0.99534,0.99351,0.99478,0.89662,0.48936,0.23813,0.87021,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043,0.00396129,0.00132043
44,680.039,0.50463,0.31495,0.88193,0.99757,0.98676,0.99376,0.90159,0.46884,0.24002,0.86702,0.00393654,0.00131218,0.00393654,0.00131218,0.00393654,0.00131218,0.00393654,0.00131218
45,695.094,0.48676,0.30069,0.87399,0.99531,0.98668,0.99268,0.8844,0.49531,0.2484,0.87302,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393,0.00391178,0.00130393
46,710.135,0.49915,0.3062,0.88182,0.99412,0.98767,0.99431,0.88943,0.50192,0.24475,0.87286,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568,0.00388703,0.00129568
47,725.1,0.49512,0.30962,0.88099,0.98973,0.99226,0.99284,0.90032,0.48415,0.23761,0.87986,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742,0.00386227,0.00128742
48,739.955,0.49201,0.30169,0.87969,0.99692,0.98851,0.99466,0.90126,0.47853,0.23564,0.87344,0.00383752,0.00127917,0.00383752,0.00127917,0.00383752,0.00127917,0.00383752,0.00127917
49,754.817,0.49702,0.30277,0.88224,0.98948,0.98839,0.9941,0.89975,0.4905,0.24772,0.8782,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092,0.00381276,0.00127092
50,769.667,0.48845,0.30083,0.87689,0.99347,0.98881,0.99262,0.90334,0.46694,0.23776,0.86362,0.00378801,0.00126267,0.00378801,0.00126267,0.00378801,0.00126267,0.00378801,0.00126267
51,784.373,0.48968,0.3029,0.8788,0.99134,0.99177,0.9928,0.89821,0.46752,0.23721,0.86817,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
52,799.225,0.4922,0.29933,0.87702,0.99457,0.99505,0.99285,0.89449,0.47903,0.23393,0.8676,0.0037385,0.00124617,0.0037385,0.00124617,0.0037385,0.00124617,0.0037385,0.00124617
53,813.815,0.47921,0.29487,0.87332,0.99439,0.9922,0.99276,0.89394,0.4765,0.23372,0.87045,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791,0.00371374,0.00123791
54,828.717,0.48256,0.29294,0.87565,0.99565,0.99262,0.99284,0.89249,0.48641,0.23755,0.87434,0.00368899,0.00122966,0.00368899,0.00122966,0.00368899,0.00122966,0.00368899,0.00122966
55,843.327,0.47714,0.29049,0.87615,0.99623,0.99262,0.99291,0.8975,0.4782,0.23637,0.8711,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141,0.00366423,0.00122141
56,858.172,0.48235,0.29148,0.87637,0.99619,0.99209,0.99374,0.89815,0.48436,0.23154,0.87226,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316,0.00363948,0.00121316
57,872.871,0.47862,0.2938,0.87707,0.99193,0.99209,0.99424,0.89782,0.48822,0.2314,0.8731,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491,0.00361472,0.00120491
58,887.574,0.47127,0.28842,0.87463,0.99672,0.98441,0.99271,0.89695,0.46874,0.22879,0.86611,0.00358997,0.00119666,0.00358997,0.00119666,0.00358997,0.00119666,0.00358997,0.00119666
59,902.356,0.48547,0.2961,0.87543,0.99703,0.98247,0.99392,0.9032,0.46095,0.23532,0.87116,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
60,917.059,0.46925,0.28331,0.87064,0.98584,0.98908,0.99287,0.90008,0.48029,0.23164,0.87113,0.00354046,0.00118015,0.00354046,0.00118015,0.00354046,0.00118015,0.00354046,0.00118015
61,931.763,0.47628,0.29034,0.87516,0.98548,0.99931,0.9938,0.91195,0.47089,0.22829,0.866,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
62,946.379,0.47847,0.28932,0.87076,0.99194,0.99217,0.9939,0.90102,0.48347,0.23139,0.8654,0.00349095,0.00116365,0.00349095,0.00116365,0.00349095,0.00116365,0.00349095,0.00116365
63,961.251,0.46807,0.28343,0.86967,0.98595,0.99197,0.99274,0.90096,0.4502,0.22571,0.85928,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
64,975.999,0.46846,0.28664,0.87245,0.98947,0.99182,0.99444,0.90204,0.46262,0.22298,0.86826,0.00344144,0.00114715,0.00344144,0.00114715,0.00344144,0.00114715,0.00344144,0.00114715
65,990.886,0.46795,0.28011,0.87078,0.9902,0.99109,0.99318,0.90522,0.45065,0.22353,0.86857,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
66,1005.37,0.46223,0.27569,0.86867,0.98971,0.99045,0.99429,0.90578,0.47116,0.22653,0.86395,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064,0.00339193,0.00113064
67,1020.25,0.45925,0.27484,0.8693,0.99493,0.9945,0.99463,0.90965,0.46289,0.21592,0.86164,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
68,1035.1,0.46482,0.28161,0.87234,0.99117,0.99116,0.9927,0.90452,0.47451,0.22391,0.8654,0.00334242,0.00111414,0.00334242,0.00111414,0.00334242,0.00111414,0.00334242,0.00111414
69,1049.81,0.45973,0.27634,0.8699,0.9947,0.99452,0.99271,0.90329,0.48285,0.22257,0.87074,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
70,1064.43,0.4597,0.27729,0.86811,0.99453,0.994,0.99417,0.89976,0.47736,0.22745,0.86805,0.00329291,0.00109764,0.00329291,0.00109764,0.00329291,0.00109764,0.00329291,0.00109764
71,1079.19,0.45578,0.27581,0.86632,0.98638,0.99505,0.99287,0.90226,0.45494,0.22242,0.86321,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
72,1093.98,0.45466,0.27223,0.86811,0.99083,0.99505,0.99298,0.90244,0.46118,0.2212,0.86792,0.0032434,0.00108113,0.0032434,0.00108113,0.0032434,0.00108113,0.0032434,0.00108113
73,1108.73,0.45288,0.27396,0.86568,0.99323,0.99262,0.993,0.90766,0.45735,0.22422,0.86639,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
74,1123.53,0.45978,0.28089,0.86938,0.99161,0.99505,0.99463,0.90864,0.45614,0.21955,0.86714,0.00319389,0.00106463,0.00319389,0.00106463,0.00319389,0.00106463,0.00319389,0.00106463
75,1138.13,0.45575,0.27457,0.86529,0.98848,0.99505,0.99397,0.90608,0.46717,0.21732,0.86647,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
